PUMA,puma_label,year,indicator,value,cut_name
3156.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2023,atten_elementary_w,4524.0,women
3157.0,"(West) - Belmont Cragin, Humboldt Park, Hermosa & Montclare",2023,atten_elementary_w,5894.0,women
3158.0,"(West) - Austin, North Lawndale & East/West Garfield Park",2023,atten_elementary_w,7342.0,women
3159.0,(West) - West Town & Near West Side,2023,atten_elementary_w,3368.0,women
3160.0,"(Central) - Near North Side, Loop & Near South Side",2023,atten_elementary_w,1925.0,women
3161.0,"(South) - Hyde Park, Grand Boulevard, Woodlawn, Douglas & Kenwood",2023,atten_elementary_w,3125.0,women
3162.0,"(Southwest) - New City, Lower West Side, Bridgeport & McKinley Park",2023,atten_elementary_w,5686.0,women
3163.0,"(Southwest) - South Lawndale, Brighton Park & Gage Park",2023,atten_elementary_w,4152.0,women
3164.0,"(Southwest) - Ashburn, Garfield Ridge, West Lawn, Clearing & West Elsdon",2023,atten_elementary_w,4840.0,women
3165.0,"(South) - Chicago Lawn, Greater Grand Crossing & West Englewood/Englewood",2023,atten_elementary_w,5085.0,women
3166.0,"(Southwest) - Auburn Gresham, Washington Heights, Morgan Park & Beverly",2023,atten_elementary_w,6234.0,women
3167.0,"(South) - Roseland, Chatham, West Pullman, Calumet Heights & Avalon Park",2023,atten_elementary_w,2905.0,women
3168.0,"(South) - South Shore, South Chicago, East Side & South Deering",2023,atten_elementary_w,4565.0,women
9999.0,Chicago Area,2023,atten_elementary_w,80356.0,women
3501.0,"(North) - Edgewater, Uptown & Rogers Park",2013,atten_elementary_w,4201.0,men
3502.0,(North) - Lake View & Lincoln Park,2013,atten_elementary_w,3041.0,men
3503.0,"(North) - West Ridge, Lincoln Square & North Center",2013,atten_elementary_w,6197.0,men
3504.0,"(Northwest) - Irving Park, Albany Park, Forest Glen & North Park",2013,atten_elementary_w,6844.0,men
3520.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2013,atten_elementary_w,5395.0,men
3521.0,"(West) - Austin, Belmont Cragin & Montclare",2013,atten_elementary_w,7394.0,men
3522.0,"(Northwest) - Logan Square, Avondale & Hermosa",2013,atten_elementary_w,5035.0,men
3523.0,"(West) - North & South Lawndale, Humboldt Park, East & West Garfield Park",2013,atten_elementary_w,10813.0,men
3524.0,"(West) - West Town, Near West Side & Lower West Side",2013,atten_elementary_w,4607.0,men
3525.0,"(Central) - Near North Side, Loop & Near South Side",2013,atten_elementary_w,2894.0,men
3526.0,"(Southwest) - Brighton Park, New City, Bridgeport & McKinley Park",2013,atten_elementary_w,6173.0,men
3527.0,"(Southwest) - Gage Park, Garfield Ridge & West Lawn",2013,atten_elementary_w,6584.0,men
