,id,name,latitude,longitude,student_count,is_high_school,is_middle_school,is_pre_school,is_ele_school,attendance_rate,graduation_rate,add_street,add_state,add_zipcode,puma,neighborhood
59,400112,Acero Charter Schools - Jovita Idar,41.801042,-87.708797,535,False,True,False,True,91.5,,5050 S HOMAN Ave,Illinois,60632,,0063
60,609988,Patrick Henry Elementary School,41.958989,-87.715632,448,False,True,True,True,91.4,,4250 N SAINT LOUIS Ave,Illinois,60618,,0016
61,610237,Ludwig Van Beethoven Elementary School,41.809135,-87.627137,340,False,True,True,True,86.0,,25 W 47TH St,Illinois,60609,,0038
62,609925,Joseph Kellman Corporate Community ES,41.870168,-87.702163,211,False,True,True,True,91.4,,3030 W ARTHINGTON St,Illinois,60612,,0027
63,609760,George Washington Carver Military Academy HS,41.65629,-87.59062,410,True,False,False,False,86.5,89.0,13100 S DOTY Ave,Illinois,60827-1597,,0054
64,610203,Monarcas Academy,41.787523,-87.708179,808,False,False,True,True,90.7,,5815 S HOMAN Ave,Illinois,60629,,0063
65,609676,Paul Laurence Dunbar Career Academy High School,41.840226,-87.617637,318,True,False,False,False,64.7,81.8,3000 S KING Dr,Illinois,60616,,0035
66,610595,Dr. Fisher Early Learning Center,41.916008,-87.634637,144,False,False,True,False,,,1840 N CLARK ,Illinois,60614-5881,,0007
67,610078,Inter-American Elementary Magnet School,41.949003,-87.651573,617,False,True,True,True,93.2,,851 W WAVELAND Ave,Illinois,60613,,0006
68,609927,Foster Park Elementary School,41.738425,-87.668099,364,False,True,True,True,92.4,,8530 S WOOD St,Illinois,60620,,0071
69,609806,Myra Bradwell Communications Arts & Sciences ES,41.754365,-87.557142,554,False,True,True,True,83.4,,7736 S BURNHAM Ave,Illinois,60649,,0043
70,610034,Lawndale Elementary Community Academy,41.86296,-87.712957,202,False,True,True,True,88.0,,3500 W DOUGLAS Blvd,Illinois,60623,,0029
71,610235,Ella Flagg Young Elementary School,41.906791,-87.767143,411,False,True,True,True,87.4,,1434 N PARKSIDE Ave,Illinois,60651,,0025
72,609835,Daniel R Cameron Elementary School,41.903792,-87.717927,660,False,True,True,True,93.1,,1234 N MONTICELLO Ave,Illinois,60651,,0023
73,609870,Daniel J Corkery Elementary School,41.845602,-87.731193,445,False,True,True,True,85.2,,2510 S KILDARE Ave,Illinois,60623,,0030
74,400101,Acero Charter Schools - Sandra Cisneros,41.822884,-87.693996,307,False,True,False,True,92.5,,2744 W PERSHING Rd,Illinois,60632,,0058
75,400075,University of Chicago - Donoghue,41.827726,-87.608501,487,False,False,False,True,91.4,,707 E 37TH St,Illinois,60653,,0036
76,609928,James Farmer Jr Elementary School,41.818003,-87.611784,305,False,True,True,True,87.9,,4214 S ST LAWRENCE Ave,Illinois,60653,,0038
77,610299,Dr. Martin Luther King Jr Academy of Social Justice,41.765335,-87.641335,248,False,True,True,True,88.6,,644 W 71ST St,Illinois,60621,,0068
78,610250,Ruben Salazar Elementary Bilingual Center,41.901417,-87.633632,315,False,True,True,True,88.1,,160 W WENDELL St,Illinois,60610,,0008
79,400054,Noble - Pritzker College Prep,41.915214,-87.730127,978,True,False,False,False,90.2,95.9,4131 W CORTLAND St,Illinois,60639,,0020
80,609987,Thomas A Hendricks Elementary Community Academy,41.815788,-87.633664,225,False,True,True,True,85.7,,4316 S PRINCETON Ave,Illinois,60609,,0037
81,400039,Erie Elementary Charter School,41.906771,-87.694364,396,False,True,False,True,90.4,,1405 N WASHTENAW Ave,Illinois,60622,,0024
82,400082,Acero Charter Schools - Carlos Fuentes,41.937476,-87.699594,324,False,True,False,True,91.8,,2845 W BARRY Ave,Illinois,60618,,0021
83,610084,Annie Keller Regional Gifted Center,41.69717,-87.697278,222,False,True,False,True,95.9,,3020 W 108TH St,Illinois,60655,,0074
84,610530,South Shore Fine Arts Academy,41.767755,-87.590396,230,False,True,True,True,90.5,,1415 E 70TH St,Illinois,60637,,0043
85,610586,Edward E. Sadlowski Elementary School,41.704859,-87.527985,682,False,True,True,True,88.4,,3930 E 105TH ,Illinois,60617-6335,,0052
86,400026,CICS - Loomis Primary,41.720246,-87.657561,332,False,False,False,True,89.5,,9535 S LOOMIS St,Illinois,60643,,0073
87,400034,CICS - Northtown,41.990245,-87.726504,853,True,False,False,False,87.0,95.1,3900 W PETERSON Ave,Illinois,60659,,0013
88,610569,Ombudsman Chicago- Northwest,42.017171,-87.806682,327,True,False,False,False,59.8,,7500 N HARLEM Ave,Illinois,60631,,0009
89,610201,Ole A Thorp Elementary Scholastic Academy,41.948571,-87.777631,828,False,True,False,True,94.0,,6024 W WARWICK Ave,Illinois,60634,,0017
90,610088,Wolfgang A Mozart Elementary School,41.92091,-87.721888,517,False,True,True,True,88.5,,2200 N HAMLIN Ave,Illinois,60647,,0022
91,400181,Art in Motion Charter School,41.760034,-87.583328,557,True,True,False,False,89.2,,7415 S EAST END ,IL,60649-3611,,0043
