,id,name,latitude,longitude,student_count,is_high_school,is_middle_school,is_pre_school,is_ele_school,attendance_rate,graduation_rate,add_street,add_state,add_zipcode,status_as_of_2024,year,dropout_rate,num_dropouts,total_students_dropout,adjusted_students,puma,neighborhood
138,400077,U OF C - WOODLAWN HS,41.77813,-87.598114,575.0,True,True,False,True,88.0,92.2,6300 S UNIVERSITY Ave,Illinois,60637-2710,,2023,6.5,23,365,353,03161,
139,610394,UPLIFT HS,41.965547,-87.652473,212.0,True,False,False,False,78.9,70.0,900 W WILSON Ave,Illinois,60640,,2023,2,2,115,102,03153,
140,400105,URBAN PREP - BRONZEVILLE HS,41.831118,-87.613629,145.0,True,False,False,False,90.2,92.1,521 E 35TH St,Illinois,60616,,2023,6.7,15,247,225,03161,
141,400086,URBAN PREP - ENGLEWOOD HS,41.781498,-87.634357,82.0,True,False,False,False,91.6,83.8,6201 S STEWART Ave,Illinois,60621,,2023,3.5,5,165,141,03165,
142,609766,VAUGHN HS,41.960364,-87.764663,224.0,True,False,False,False,81.9,,4355 N LINDER Ave,Illinois,60641,,2023,1,2,204,200,03156,
143,609737,VON STEUBEN HS,41.973185,-87.713386,1644.0,True,False,False,False,88.6,97.3,5039 N KIMBALL Ave,Illinois,60625,,2023,0.5,8,1669,1618,03151,
144,609739,WASHINGTON HS,41.688137,-87.53757,1465.0,True,False,False,False,82.9,84.4,3535 E 114TH St,Illinois,60617,,2023,2.2,34,1601,1518,03168,
145,609740,WELLS HS,41.898995,-87.667483,316.0,True,False,False,False,75.0,78.4,936 N ASHLAND Ave,Illinois,60622,,2023,2.5,8,364,316,03159,
146,609693,WESTINGHOUSE HS,41.889977,-87.707332,1195.0,True,False,False,False,86.2,96.5,3223 W FRANKLIN Blvd,Illinois,60624,,2023,3.5,43,1240,1224,03157,
147,610380,WILLIAMS HS,41.806118,-87.62503,68.0,True,False,False,False,86.2,78.6,4934 S WABASH Ave,Illinois,60615,,2023,4.3,3,73,69,03161,
148,610392,WORLD LANGUAGE HS,41.834397,-87.735292,363.0,True,False,False,False,86.0,85.2,3120 S KOSTNER Ave,Illinois,60623,,2023,4.2,15,359,359,03163,
149,400125,YCCS - ASPIRA PANTOJA,41.938187,-87.727137,167.0,True,False,False,False,67.0,,3121 N PULASKI Rd,Illinois,60641,,2023,35.2,101,288,287,03155,
